,Brand_name,Logo,IPR,Designation,Status,Status date,Number,Office,Nice_classification,Owner
91,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001118900000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
92,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001106130000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
93,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001140230000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
94,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4100071440000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
95,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001168000000,KIPO (Korea (Republic of)),"9, 7, 11, 12",바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
96,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001407650000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
97,BMW,,National Trademark Registration,Cambodia,Registered,,KH/M/1320641,DIP (Cambodia),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
98,BMW,,National Trademark Registration,Kenya,Registered,,T35576,KIPI (Kenya),7,"BMW AG, a German Corporation, organised and existing under the laws of German, manufacturers and merchants (Germany)"
99,BMW,,National Trademark Application,USA,Pending,,79308311,USPTO (USA),"41, 9, 18, 28, 39, 16, 38, 37, 14, 25, 36, 35, 12, 21, 42",Bayerische Motoren Werke Aktiengesellschaft (Germany)
100,BMW,,National Trademark Registration,USA,Registered,,613465,USPTO (USA),19,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
101,BMW,,National Trademark Registration,Thailand,Registered,,237426,DIP (Thailand),37,ไบเออริสเช่ โมโตเรน เวอร์เค้อ อัคเทียนเกเซลล์ชาฟท์
102,BMW,,National Trademark Application,Australia,Ended,,410631,IPA (Australia),24,Bayerische Motoren Werke Aktiengesellschaft (Germany)
103,BMW,,National Trademark Registration,Australia,Registered,,410621,IPA (Australia),"2, 4, 7, 9, 12, 16, 17, 18, 20, 21, 24, 25, 26, 28, 34, 36, 37, 39",Bayerische Motoren Werke Aktiengesellschaft (Germany)
104,BMW,,National Trademark Application,Australia,Ended,,410626,IPA (Australia),16,Bayerische Motoren Werke Aktiengesellschaft (Germany)
105,BMW,,National Trademark Application,Australia,Ended,,410636,IPA (Australia),36,Bayerische Motoren Werke Aktiengesellschaft (Germany)
106,BMW,,National Trademark Registration,Germany,Registered,,302019116271,DPMA (Germany),"12, 9, 16, 35, 36, 37, 38, 39, 42",Bayerische Motoren Werke Aktiengesellschaft (Germany)
107,BMW,,National Trademark Registration,Germany,Registered,,1026571,DPMA (Germany),36,Bayerische Motoren Werke AG (Germany)
108,BMW,,National Trademark Application,Germany,Ended,,3020152005018,DPMA (Germany),"15, 9, 11",Bayerische Musik Werkstatt GmbH (Germany)
109,BMW,,International Trademark Registration,"China, USA",Registered,,1583741,Madrid (WIPO),"5, 9, 10, 25","Bayerische Motoren Werke, Aktiengesellschaft (Germany)"
110,BMW,,International Trademark Registration,"Australia, Bahrain, Colombia, Curaçao, Georgia, Ghana, Israel, India, Iceland, Japan, Cambodia, Korea (Republic of), Lao People's Democratic Republic, Madagascar, Mexico, Norway, New Zealand, African Intellectual Property Organization, Oman, Philippines, Singapore, Sint Maarten (Dutch part), Turkmenistan, Tunisia, Turkey, Uzbekistan, Zambia, Albania, Armenia, Azerbaijan, Bosnia and Herzegovina, Belarus, Switzerland, China, Algeria, Egypt, France, Kenya, Kyrgyzstan, Kazakhstan, Morocco, Moldova (Republic of), Montenegro, Macedonia (the former Yugoslav Republic of), Mongolia, Serbia, Russian Federation, San Marino, Ukraine, Viet Nam",Registered,,1320641,Madrid (WIPO),4,"Bayerische Motoren Werke, Aktiengesellschaft (Germany)"
111,BMW,,National Trademark Registration,Botswana,Registered,,1982/007196,CIPA (Botswana),12,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (German Democratic Republic)
112,BMW,,National Trademark Application,Botswana,Ended,,BW/M/1982/007191,CIPA (Botswana),35,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
113,BMW,,National Trademark Registration,Botswana,Registered,,1983/007696,CIPA (Botswana),7,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (German Democratic Republic)
114,BMW,,National Trademark Registration,Botswana,Registered,,1981/006786,CIPA (Botswana),9,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
115,BMW,,National Trademark Registration,Botswana,Registered,,1998/000876,CIPA (Botswana),42,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (German Democratic Republic)
116,BMW,,National Trademark Registration,Germany,Registered,,302011037731,DPMA (Germany),"12, 3, 6, 8, 9, 11, 14, 16, 18, 20, 21, 24, 25, 26, 27, 28, 29, 30, 32",Bayerische Motoren Werke Aktiengesellschaft (Germany)
117,BMW,,National Trademark Application,Germany,Ended,,3020201009565,DPMA (Germany),"12, 9, 16, 35, 36, 37, 38, 39, 42",Bayerische Motoren Werke Aktiengesellschaft (Germany)
118,BMW,,National Trademark Registration,Germany,Registered,,302020102491,DPMA (Germany),12,Bayerische Motoren Werke Aktiengesellschaft (Germany)
119,BMW,,National Trademark Registration,Germany,Registered,,302020103441,DPMA (Germany),"12, 9, 14, 16, 18, 21, 25, 28, 35, 36, 37, 38, 39, 42",Bayerische Motoren Werke Aktiengesellschaft (Germany)
120,BMW,,National Trademark Registration,Australia,Registered,,616776,IPA (Australia),"6, 14",Bayerische Motoren Werke Aktiengesellschaft (Germany)
121,BMW,,National Trademark Application,Indonesia,Ended,,D002012053610,DGIP (Indonesia),16,TEGUH HANDOJO (Indonesia)
122,BMW,,National Trademark Registration,Indonesia,Registered,,IDM000023535,DGIP (Indonesia),16,"Bayerische Motoran Werke Aktiengesellschaft., (Germany)"
123,BMW,,National Trademark Registration,Indonesia,Registered,,IDM000022592,DGIP (Indonesia),18,Bayerische Motoren Werke Aktiengesellschaft (Germany)
124,BMW,,National Trademark Registration,Indonesia,Registered,,IDM000460272,DGIP (Indonesia),9,"Bayerische Motoren Werke Aktiengesellschaft, (Germany)"
125,BMW,,National Trademark Registration,Indonesia,Expired,,"453,331",DGIP (Indonesia),30,F.S. PRANAPSA WIDJAJA (Indonesia)
126,BMW,,National Trademark Registration,France,Registered,,1016795,INPI (France),"7, 12",BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
127,BMW,,National Trademark Registration,France,Registered,,1404700,INPI (France),"7, 12","BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT, Société de droit allemand (Germany)"
128,BMW,,National Trademark Registration,Estonia,Registered,,30933,EPA (Estonia),"12, 37",Bayerische Motoren Werke Aktiengesellschaft (Germany)
129,BMW,,National Trademark Registration,UAE,Registered,,166355,MoE (UAE),6,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
130,BMW,,National Trademark Registration,UAE,Registered,,166365,MoE (UAE),26,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
131,BMW,,National Trademark Registration,UAE,Registered,,166360,MoE (UAE),16,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
132,BMW,,National Trademark Registration,UAE,Registered,,166370,MoE (UAE),32,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
